policy_id,driver_age,vehicle_age,vehicle_type,vehicle_make,past_claims,accident_type,region,claim_severity,age_group,vehicle_age_group,claims_category,risky_combo,experience_ratio,claims_per_year,high_value_vehicle,urban_sports,age_accident_severity,vehicle_profile,driver_risk_score,high_claim_history,poly_driver_age^2,poly_driver_age vehicle_age,poly_driver_age past_claims,poly_vehicle_age^2,poly_vehicle_age past_claims,poly_past_claims^2,log_vehicle_age,log_past_claims,log_driver_age,sqrt_vehicle_age,sqrt_driver_age,inv_vehicle_age,inv_driver_age
522,48,6,SUV,Regular,0,Minor,Urban,3675.709436505747,mature,recent,no_claims,0,6.857142857142857,0.0,0,0,mature_Minor,SUV_Regular,0,0,2304.0,288.0,0.0,36.0,0.0,0.0,1.9459101490553132,0.0,3.8918202981106265,2.449489742783178,6.928203230275509,0.14285714285714285,0.02040816326530612
738,54,1,Sedan,High-end,1,Minor,Suburban,3665.556535106453,experienced,brand_new,no_claims,0,27.0,0.02702702702702703,1,0,experienced_Minor,Sedan_High-end,0,0,2916.0,54.0,54.0,1.0,1.0,1.0,0.6931471805599453,0.6931471805599453,4.007333185232471,1.0,7.3484692283495345,0.5,0.01818181818181818
741,18,4,Sports,High-end,2,Minor,Suburban,9846.056167936016,teen_young,recent,few_claims,1,3.6,2.0,1,0,teen_young_Minor,Sports_High-end,5,1,324.0,72.0,36.0,16.0,8.0,4.0,1.6094379124341003,1.0986122886681098,2.9444389791664403,2.0,4.242640687119285,0.2,0.05263157894736842
661,31,8,Sedan,High-end,0,Minor,Suburban,3409.733615204432,young_adult,aging,no_claims,0,3.4444444444444446,0.0,1,0,young_adult_Minor,Sedan_High-end,0,0,961.0,248.0,0.0,64.0,0.0,0.0,2.1972245773362196,0.0,3.4657359027997265,2.8284271247461903,5.5677643628300215,0.1111111111111111,0.03125
412,23,6,Sports,Regular,0,Severe,Urban,25815.673540613385,teen_young,recent,no_claims,0,3.2857142857142856,0.0,1,1,teen_young_Severe,Sports_Regular,3,0,529.0,138.0,0.0,36.0,0.0,0.0,1.9459101490553132,0.0,3.1780538303479458,2.449489742783178,4.795831523312719,0.14285714285714285,0.041666666666666664
679,54,7,Sports,High-end,0,Moderate,Urban,16998.82064218732,experienced,recent,no_claims,0,6.75,0.0,1,1,experienced_Moderate,Sports_High-end,0,0,2916.0,378.0,0.0,49.0,0.0,0.0,2.0794415416798357,0.0,4.007333185232471,2.6457513110645907,7.3484692283495345,0.125,0.01818181818181818
627,25,3,Sedan,Regular,0,Moderate,Suburban,6022.114756201006,teen_young,brand_new,no_claims,0,6.25,0.0,0,0,teen_young_Moderate,Sedan_Regular,0,0,625.0,75.0,0.0,9.0,0.0,0.0,1.3862943611198906,0.0,3.258096538021482,1.7320508075688772,5.0,0.25,0.038461538461538464
514,26,0,Truck,Regular,1,Minor,Rural,2398.7329495016934,young_adult,brand_new,no_claims,0,26.0,0.1111111111111111,0,0,young_adult_Minor,Truck_Regular,0,0,676.0,0.0,26.0,0.0,0.0,1.0,0.0,0.6931471805599453,3.295836866004329,0.0,5.0990195135927845,1.0,0.037037037037037035
860,49,5,SUV,Regular,0,Minor,Urban,3892.7385859139154,mature,recent,no_claims,0,8.166666666666666,0.0,0,0,mature_Minor,SUV_Regular,0,0,2401.0,245.0,0.0,25.0,0.0,0.0,1.791759469228055,0.0,3.912023005428146,2.23606797749979,7.0,0.16666666666666666,0.02
137,28,8,Sedan,Regular,0,Severe,Urban,17376.451345122423,young_adult,aging,no_claims,0,3.111111111111111,0.0,0,0,young_adult_Severe,Sedan_Regular,0,0,784.0,224.0,0.0,64.0,0.0,0.0,2.1972245773362196,0.0,3.367295829986474,2.8284271247461903,5.291502622129181,0.1111111111111111,0.034482758620689655
812,33,5,SUV,Regular,0,Minor,Suburban,2827.8110945683725,young_adult,recent,no_claims,0,5.5,0.0,0,0,young_adult_Minor,SUV_Regular,0,0,1089.0,165.0,0.0,25.0,0.0,0.0,1.791759469228055,0.0,3.5263605246161616,2.23606797749979,5.744562646538029,0.16666666666666666,0.029411764705882353
77,41,0,Truck,Regular,0,Moderate,Rural,5141.279572895372,mature,brand_new,no_claims,0,41.0,0.0,0,0,mature_Moderate,Truck_Regular,0,0,1681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7376696182833684,0.0,6.4031242374328485,1.0,0.023809523809523808
637,52,2,Sports,Regular,0,Minor,Urban,4816.996836069937,experienced,brand_new,no_claims,0,17.333333333333332,0.0,1,1,experienced_Minor,Sports_Regular,0,0,2704.0,104.0,0.0,4.0,0.0,0.0,1.0986122886681098,0.0,3.970291913552122,1.4142135623730951,7.211102550927978,0.3333333333333333,0.018867924528301886
974,30,5,Truck,High-end,1,Minor,Urban,7685.759565586665,young_adult,recent,no_claims,0,5.0,0.07692307692307693,1,0,young_adult_Minor,Truck_High-end,0,0,900.0,150.0,30.0,25.0,5.0,1.0,1.791759469228055,0.6931471805599453,3.4339872044851463,2.23606797749979,5.477225575051661,0.16666666666666666,0.03225806451612903
939,43,8,SUV,High-end,1,Minor,Suburban,5580.074362138728,mature,aging,no_claims,0,4.777777777777778,0.038461538461538464,1,0,mature_Minor,SUV_High-end,0,0,1849.0,344.0,43.0,64.0,8.0,1.0,2.1972245773362196,0.6931471805599453,3.784189633918261,2.8284271247461903,6.557438524302,0.1111111111111111,0.022727272727272728
